Ticker1,Ticker2,P_Value
AMGN,LLY,0.00017894804053802466
CRSP,DRIO,0.0008767078384926916
DRIO,RARE,0.0009517597517262015
CRSP,RARE,0.001082043753667096
DRIO,NVAX,0.0017576178127370612
DRIO,SDGR,0.005434412187324352
AMGN,TMDX,0.005478374533616013
ACAD,IHF,0.005815515318099265
CRSP,NVAX,0.0059519171953108345
IHF,TMO,0.006122036921196983
AZN,TMDX,0.008876732384880936
DRIO,ILMN,0.013075106006728876
MRNA,RGEN,0.013199939724457141
ACAD,RXL,0.013600284639887082
DRIO,XRAY,0.014593287589614241
RGEN,VRTX,0.016381335624652178
NVAX,RARE,0.0181348423665105
RGEN,XRAY,0.018163465381336195
ABBV,AZN,0.019845281581991964
EXAS,XBI,0.02631621036612823
RXL,TMO,0.029961152964591616
CRSP,SDGR,0.030477096276609057
BNTX,RGEN,0.03272530096679764
NVAX,VRTX,0.033957102413359024
DXCM,MRNA,0.03574867583278705
INCY,UNH,0.03670901876720778
IHF,INCY,0.03818849418467242
TMDX,VRTX,0.03924894380805112
AMGN,ENTA,0.04034239843215652
CRSP,EXAS,0.042692563150845866
EXAS,SDGR,0.04269650810421171
EXAS,RARE,0.043877061295617886
ENTA,VRTX,0.04660185103265664
DXCM,XRAY,0.047380847796795154
VEEV,XBI,0.04850276459213757
CRSP,VRTX,0.04881790157481269
